mz,rt,t.score,p.value,mode
121.02923,13.397,-0.04,1,negative
184.99131,1.12,-0.11,1,negative
188.99383,1.573,0.73,1,negative
202.99129,15.577,-1,1,negative
135.06609,4.625,0.1,1,negative
172.99131,16.097,-0.16,1,negative
184.9913,28.578,-0.08,1,negative
204.98875,15.427,0.19,1,negative
285.11648,16.181,0.28,1,negative
85.02919,13.486,0.13,1,negative
99.04483,13.866,0.04,1,negative
72.99279,12.151,-0.1,1,negative
157.12331,15.28,-0.14,1,negative
168.98116,14.648,0,1,negative
187.09752,16.208,0,1,negative
281.24847,1.211,0.01,1,negative
261.0727,12.952,0.18,1,negative
114.93603,1.074,-0.24,1,negative
112.93702,17.498,0.27,1,negative
129.05551,13.714,-0.01,1,negative
145.0141,14.784,0.03,1,negative
132.03,1.063,0.14,1,negative
173.00902,16.473,-0.04,1,negative
171.10258,15.452,0.05,1,negative
182.99677,14.691,-0.26,1,negative
87.00848,21.788,-0.06,1,negative
146.04574,15.276,-0.05,1,negative
191.05605,13.333,0.1,1,negative
72.9928,1.236,0.13,1,negative
191.01959,2.124,0.13,1,negative
136.99121,12.019,0.1,1,negative
173.04547,13.413,-0.02,1,negative
121.02923,1.262,0.26,1,negative
173.08183,14.605,0.08,1,negative
197.02657,15.42,-0.09,1,negative
132.99629,1.25,0.1,1,negative
173.08184,14.649,0.1,1,negative
125.09697,1.267,1.35,1,negative
114.99451,20.39,0.02,1,negative
140.98612,15.131,0.08,1,negative
189.04039,16.309,0.11,1,negative
171.10262,1.315,-0.05,1,negative
137.94038,28.844,0.78,1,negative
93.00102,1.129,-0.03,1,negative
132.03003,1.136,-0.25,1,negative
155.00185,10.533,-0.11,1,negative
171.10269,1.316,0.05,1,negative
136.99121,11.532,0.12,1,negative
283.00111,2.151,0.17,1,negative
60.99332,8.951,0.39,1,negative
146.96581,15.102,-0.56,1,negative
199.17024,1.206,-0.02,1,negative
137.02424,1.159,0,1,negative
137.02427,1.313,0,1,negative
189.02112,11.755,-0.1,1,negative
128.00996,1.249,-0.05,1,negative
147.06614,8.714,0.22,1,negative
60.99329,28.327,-0.6,1,negative
192.33159,4.822,0.62,1,negative
159.06618,13.557,0.05,1,negative
115.07616,15.226,-0.18,1,negative
59.01359,28.921,8.4,1,negative
159.0662,13.73,-0.04,1,negative
111.00852,15.271,-0.02,1,negative
134.89446,18.069,0.34,1,negative
73.02919,1.237,0,1,negative
131.07117,11.795,-0.06,1,negative
313.00404,13.399,-0.08,1,negative
176.10088,11.374,-0.03,1,negative
313.00403,13.377,0.01,1,negative
205.05232,8.93,-0.01,1,negative
161.08186,8.633,0.13,1,negative
271.22782,1.13,0.26,1,negative
190.96555,17.701,-0.02,1,negative
170.83321,12.6,0.03,1,negative
83.04993,1.307,0.08,1,negative
198.98848,20.206,0.02,1,negative
210.97345,13.897,-0.37,1,negative
189.92358,1.201,0.05,1,negative
205.00679,2.206,-0.54,1,negative
129.01912,1.166,0.18,1,negative
221.1546,20.879,-0.08,1,negative
101.06049,1.251,-0.01,1,negative
