mz,rt,t.score,p.value,mode
301.99082,13.694,0.41,0.999999411724847,negative
219.0509,16.179,-0.1,0.999999421800631,negative
204.05922,8.849,0.73,0.999999437383285,negative
137.02424,1.159,-0.06,0.999999451985401,negative
197.02657,15.42,-0.28,0.999999453530235,negative
157.12333,23.136,0.35,0.999999467832852,negative
101.02411,8.893,0.74,0.999999469031867,negative
154.01207,26.24,-0.45,0.999999488244032,negative
221.03019,14.678,0.53,0.999999505703887,negative
61.99608,1.213,0.53,0.999999519273079,negative
297.99578,2.484,0.44,0.999999546287471,negative
243.12376,11.543,0.15,0.999999547430004,negative
179.0349,1.236,-1.11,0.999999608413384,negative
146.926,1.293,0.42,0.999999619869056,negative
191.67195,4.172,0.83,0.999999632469897,negative
123.90184,1.321,-0.33,0.999999641306021,negative
167.03491,19.481,-0.29,0.999999649424202,negative
196.92316,14.444,-0.52,0.999999659658785,negative
243.03307,15.865,-0.39,0.999999664486246,negative
115.03979,13.526,0.18,0.999999672816,negative
227.12885,19.19,-0.11,0.999999700268932,negative
188.99383,1.573,0.59,0.999999702993722,negative
159.10261,15.675,-0.17,0.999999733062852,negative
194.00457,26.094,-0.36,0.999999736623381,negative
257.65872,27.576,2.82,0.999999788582992,negative
190.99133,18.781,0.8,0.999999808971216,negative
313.00404,13.399,0.68,0.999999841599079,negative
128.00996,1.249,0.43,0.999999843821225,negative
144.06645,12.147,0.64,0.99999984384756,negative
221.03011,14.09,0.5,0.999999851087005,negative
117.01904,13.584,0.33,0.999999851351767,negative
125.02417,0.963,0.34,0.999999865333985,negative
73.02918,13.58,0.22,0.999999869945129,negative
91.02182,1.141,-1.97,0.999999880881628,negative
98.96399,14.33,-0.67,0.999999881406332,negative
132.99609,1.906,0.25,0.999999882104726,negative
205.05232,8.93,-0.15,0.999999889635262,negative
138.97045,14.929,0.45,0.999999889943418,negative
272.08875,25.747,0.6,0.999999895197445,negative
158.99344,21.782,0.58,0.999999899732625,negative
224.98644,9.964,-0.93,0.999999900703322,negative
185.04544,14.996,0.19,0.999999901609616,negative
175.04188,9.262,0.18,0.999999904069482,negative
61.98869,2.183,0.68,0.999999904966181,negative
147.06614,8.714,0.38,0.999999909653887,negative
71.01353,16.49,0.13,0.999999910484623,negative
225.03794,8.834,0.16,0.999999911609494,negative
204.05126,12.867,0.21,0.99999991172426,negative
171.00635,28.452,-0.36,0.999999915143528,negative
181.96591,12.618,-0.52,0.99999991561703,negative
309.10126,24.817,-1.99,0.999999921656038,negative
254.33125,2.47,0.66,0.999999921743015,negative
293.9931,29.032,-2.87,0.999999927211271,negative
241.1808,1.227,0.62,0.999999932760322,negative
173.43762,6.727,-0.85,0.999999935882101,negative
89.02536,28.109,-1.67,0.999999936439863,negative
211.00699,15.964,0.26,0.999999938470514,negative
68.01388,28.434,-1.98,0.999999942279507,negative
179.03492,19.09,-0.1,0.999999947826798,negative
109.02922,1.129,0.37,0.999999949847976,negative
173.43634,24.885,0.45,0.99999995294389,negative
59.01423,1.278,-0.14,0.999999958033972,negative
259.66273,22.78,0.53,0.999999962592332,negative
181.66185,2.147,0.45,0.999999963276108,negative
190.99132,18.19,0.58,0.999999964314975,negative
296.99858,2.664,0.75,0.999999965520534,negative
191.99426,7.58,0.3,0.999999966099165,negative
94.98031,1.714,0.25,0.999999966329658,negative
168.99932,13.306,0.26,0.999999966686369,negative
132.99629,1.25,-0.35,0.999999967338711,negative
187.00119,16.802,0.15,0.999999968914401,negative
228.16046,26.412,0.56,0.999999969972401,negative
168.04305,7.56,0.21,0.99999997023925,negative
221.03018,16.557,0.47,0.99999997599893,negative
237.00414,26.006,1.38,0.999999976048073,negative
195.49551,17.867,0.4,0.999999976928832,negative
131.03474,16.599,0.27,0.999999978419047,negative
195.99231,27.315,0.42,0.999999981206108,negative
111.00852,15.271,-0.31,0.99999998178143,negative
317.11185,25.644,0.22,0.9999999838432,negative
195.01369,11.589,-0.27,0.999999985017239,negative
194.01728,11.785,0.27,0.999999986222385,negative
165.01926,28.488,0.2,0.999999986510877,negative
158.94398,1.117,0.14,0.99999998710163,negative
177.04038,16.612,0.39,0.999999988671041,negative
68.9963,7.26,-1.18,0.999999989583887,negative
101.02408,17.362,0.57,0.999999990539709,negative
189.07674,13.457,0.16,0.999999990608934,negative
113.02414,1.173,0.15,0.999999990612268,negative
111.94689,14.31,0.27,0.999999990698628,negative
144.04533,4.656,0.14,0.999999990719289,negative
93.0261,14.44,-0.38,0.999999991365325,negative
91.04098,1.95,0.13,0.999999992143897,negative
